name,link
huffingtonpost,http://www.huffingtonpost.com
cnn,http://cnn.com
time,http://www.time.com
ted,http://www.ted.com
pandodaily,http://pandodaily.com
cnbc,http://www.cnbc.com
mlb,http://www.mlb.com
pcmag,http://www.pcmag.com
foxnews,http://www.foxnews.com
theatlantic,http://theatlantic.com
bbc,http://www.bbc.co.uk
vice,http://www.vice.com
elle,http://www.elle.com
vh1,http://www.vh1.com
espnf1,http://espnf1.com
espn,http://espn.com
npr,http://www.npr.org
sfgate,http://www.sfgate.com
glamour,http://www.glamour.com
whosdatedwho,http://www.whosdatedwho.com
kotaku,http://kotaku.com
thebostonchannel,http://thebostonchannel.com
suntimes,http://www.suntimes.com
businessinsider,http://www.businessinsider.com
rivals,http://www.rivals.com
thebusinessjournal,http://thebusinessjournal.com
newrepublic,http://www.newrepublic.com
allthingsd,http://allthingsd.com
topgear,http://www.topgear.com
thecitizen,http://thecitizen.com
ign,http://www.ign.com
sci-news,http://www.sci-news.com
morningstar,http://www.morningstar.com
variety,http://www.variety.com
thebottomline.as.ucsb,http://thebottomline.as.ucsb.edu
gamefaqs,http://www.gamefaqs.com
blog.searchenginewatch,http://blog.searchenginewatch.com
thedailyfairfield,http://thedailyfairfield.com
solarnovus,http://www.solarnovus.com
medicalxpress,http://medicalxpress.com
news.co,http://www.news.com.au
health,http://www.health.com
computerandvideogames,http://www.computerandvideogames.com
wsj,http://wsj.com
allure,http://www.allure.com
theinsider,http://www.theinsider.com
cnet,http://cnet.com
venturebeat,http://venturebeat.com
topspeed,http://www.topspeed.com
thedailyworld,http://thedailyworld.com
games,http://games.com
religionnews,http://www.religionnews.com
blogs.berkeley,http://blogs.berkeley.edu
sbnation,http://www.sbnation.com
polygon,http://www.polygon.com
nytimes,http://nytimes.com
thefrisky,http://www.thefrisky.com
telegram,http://telegram.com
yahoo,http://yahoo.com
nbcnews,http://www.nbcnews.com
thedailypage,http://thedailypage.com
popsci,http://www.popsci.com
pbs,http://www.pbs.org
nasa,http://www.nasa.gov
guardiannews,http://www.guardiannews.com
weather,http://www.weather.com
gq,http://www.gq.com
etonline,http://www.etonline.com
telegraph,http://telegraph.co.uk
fastcompany,http://www.fastcompany.com
infoworld,http://www.infoworld.com
wired,http://www.wired.com
pcgamer,http://www.pcgamer.com
sportingnews,http://sportingnews.com
theatlanticwire,http://theatlanticwire.com
thecarconnection,http://thecarconnection.com
sun-sentinel,http://www.sun-sentinel.com
autoblog,http://autoblog.com
environmentalleader,http://www.environmentalleader.com
thecrimson,http://thecrimson.com
thecypresstimes,http://thecypresstimes.com
dailyfinance,http://www.dailyfinance.com
politico,http://www.politico.com
newsroom.fb,http://newsroom.fb.com
news.ycombinator,http://news.ycombinator.com
lifehacker,http://lifehacker.com
bet,http://www.bet.com
independent,http://independent.co.uk
mlssoccer,http://www.mlssoccer.com
bodybuilding,http://www.bodybuilding.com
cosmopolitan,http://www.cosmopolitan.com
apple,http://www.apple.com
autonews,http://www.autonews.com
eonline,http://www.eonline.com
vanityfair,http://www.vanityfair.com
techdigest,http://techdigest.tv
maximumpc,http://www.maximumpc.com
